
DATE: 12-07-2016 15:15:52; USER: root; ** ENTER: home.php 

DATE: 12-07-2016 15:15:54; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 12-07-2016 15:17:15; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 12-07-2016 15:17:33; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 12-07-2016 15:17:36; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 12-07-2016 15:17:37; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 12-07-2016 15:17:38; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 12-07-2016 15:17:39; USER: root; ** ENTER: home.php 

DATE: 12-07-2016 15:40:18; USER: root; ** ENTER: home.php 

DATE: 12-07-2016 15:40:23; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 12-07-2016 15:40:26; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 
