
DATE: 06-12-2016 03:53:35; USER: root; ** ENTER: home.php 

DATE: 06-12-2016 04:18:36; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 06-12-2016 04:18:53; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 06-12-2016 04:19:29; USER: root; ** ENTER: home.php 

DATE: 06-12-2016 04:19:31; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 06-12-2016 04:20:06; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 06-12-2016 04:20:18; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: anagrafica

DATE: 06-12-2016 04:20:28; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: anagrafica

DATE: 06-12-2016 04:20:36; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: anagrafica

DATE: 06-12-2016 04:21:01; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: anagrafica

DATE: 06-12-2016 04:21:15; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: esame_tc

DATE: 06-12-2016 04:21:21; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: esame_tc

DATE: 06-12-2016 04:21:25; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: esame_tc

DATE: 06-12-2016 04:21:36; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: terapia

DATE: 06-12-2016 04:21:39; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: terapia

DATE: 06-12-2016 04:21:43; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: terapia

DATE: 06-12-2016 04:21:50; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: data_inserimento

DATE: 06-12-2016 04:21:57; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: data_inserimento

DATE: 06-12-2016 04:22:46; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 06-12-2016 04:23:03; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 06-12-2016 04:23:14; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 06-12-2016 04:23:24; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 06-12-2016 04:23:26; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 06-12-2016 04:23:36; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 06-12-2016 04:24:44; USER: root; ** ENTER: home.php 

DATE: 06-12-2016 04:24:51; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 06-12-2016 04:25:17; USER: root; ** ENTER: home.php 

DATE: 06-12-2016 04:25:19; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 06-12-2016 04:25:32; USER: root; ** ENTER: home.php 

DATE: 06-12-2016 04:25:35; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 06-12-2016 04:26:45; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 06-12-2016 04:26:55; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 06-12-2016 04:30:29; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 06-12-2016 04:31:16; USER: root; ** E' STATO INSERITO UN NUOVO ESAME TC PER IL PAZIENTE (ID = 1) CHE HA COME DATA 06/12/2016

DATE: 06-12-2016 04:31:50; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 06-12-2016 04:31:52; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 06-12-2016 04:35:23; USER: root; ** ENTER: home.php 
